ano_simples;ano;territorio;area_territorio;perimetro;razao_perimetro_area;numero_vizinhos;altitude_mediana;area_outros_ambientes;proporcao_cebolama;area_cebolama;densidade_cebolama;proporcao_samambaia;area_samambaia;densidade_samambaia;qualidade_samambaia;proporcao_capimserra;area_capimserra;densidade_capimserra;qualidade_capimserra;arboreas;aboreas_simplificado;foquilhas;Casal;femea;macho;idade_femea;idade_macho;mortalidade;filhotes_independentes;produtividade_anual;chuva_acumulada_simepar;chuva_forte_violenta_simepar;dias_chuva_simepar;mare_maxima;temperatura_media_simepar;temperatura_maxima_simepar;temperatura_minima_simepar;BQI
3;2008;rosinha;8769;489;0.05576;1;2.442;1099;0.803732467;7047.93;normal;0.069015851;605.2;boa;boa;0.001923823;16.87;denso;denso;parcialmente_samambaia;samambaia;samambaia;1;53;46;3.5;3.5;0;0;0;2908;44;211;2.5;21.06;28.96;14.13;0
4;2009;rosinha;8986;526;0.05853;2;2.419;1268;0.789665034;7095.93;moderada;0.06734921;605.2;boa;boa;0.001877365;16.87;denso;denso;parcialmente_samambaia;samambaia;samambaia;1;53;46;4.5;4.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41;-0.45
5;2010;rosinha;8724;492;0.05639;1;2.48;1110;0.801994498;6996.6;moderada;0.069142595;603.2;boa;boa;0.001627694;14.2;denso;denso;parcialmente_samambaia;samambaia;samambaia;1;53;46;5.5;5.5;1;0;0;3460.8;67;222;2.4;20.909;29.56;13.85;-0.62
6;2011;rosinha;7849;417;0.05312;2;2.532;449;0.779580838;6118.93;densa;0.161065104;1264.2;boa;boa;0.002149318;16.87;denso;denso;parcialmente_samambaia;samambaia;samambaia;40;Fi39;194;0.6;1;2;0;0;2705;32;217;2.4;20.734;28.35;14.16;-0.83
7;2012;rosinha;7338;408;0.0556;2;2.531;879.9;0.713104388;5232.76;densa;0.166985555;1225.34;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;40;Fi39;194;1.6;2;0;1;0.5;2387.3;36;209;2.5;21.004;28.571;13.868;0.14
8;2013;rosinha;6561;385;0.05868;2;2.531;373.9;0.763770767;5011.1;densa;0.179240969;1176;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;40;Fi39;194;2.6;3;1;0;0;2035.6;22;205;2.5;21.013;28.93;13.11;-1
9;2014;rosinha;6561;385;0.05868;2;2.531;373.9;0.763770767;5011.1;densa;0.179240969;1176;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;55;Fi39;Fi75;3.6;2;0;0;0;2296.8;38;218;2.5;21.38;28.85;14.66;-0.8
10;2015;rosinha;6702;380;0.05669;2;2.531;373.9;0.768740674;5152.1;moderada;0.175470009;1176;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;55;Fi39;Fi75;4.6;3;0;1;0.5;3531.8;68;246;2.5;21.427;31.34;14.93;0
11;2016;rosinha;6702;380;0.05669;2;2.531;373.9;0.768740674;5152.1;moderada;0.175470009;1176;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;55;Fi39;Fi75;5.6;4;0;0;0;1830;30;240;2.5;20.973;30.2;11.62;-0.59
12;2017;rosinha;6787;381;0.05613;2;2.531;456;0.793266539;5383.9;moderada;0.139546191;947.1;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;55;Fi39;Fi75;6.6;5;0;0;0;2471.8;40;223;2.5;21.215;28.14;14.4;-0.56
13;2018;rosinha;6787;381;0.05613;2;2.531;456;0.793266539;5383.9;normal;0.139546191;947.1;ruim;ausenteouruim;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia;90;338;337;3;3;2;0;0;2315.8;40;217;2.5;21.238;31.87;13.66;-0.58
14;2019;rosinha;10177;514;0.0505;1;2.453;1471;0.741800138;7549.3;normal;0.0949887;966.7;ruim;ausenteouruim;0.018669549;190;denso;denso;parcialmente_ambos;ambos;samambaia;90;338;337;4;4;0;0;0;3025;44;205;2.4;21.163;28.71;13.45;-1.26
15;2020;rosinha;10464;520;0.04969;2;2.453;1584;0.740280963;7746.3;normal;0.090185398;943.7;ruim;ausenteouruim;0.018157492;190;denso;denso;parcialmente_ambos;ambos;samambaia;90;338;337;5;5;0;0;0;2274.2;38;204;2.4;21.097;29.04;13.75;0
16;2021;rosinha;9408;482;0.05123;1;2.484;1242;0.797181122;7499.88;normal;0.049545068;466.12;ruim;ausenteouruim;0.021258503;200;denso;denso;parcialmente_ambos;ambos;samambaia;106;338;389;6;0.5;0;0;0;2639.6;38;221;2.4;20.588;29.19;11.93;-0.64
17;2022;rosinha;9408;482;0.05123;1;2.484;1242;0.797181122;7499.88;normal;0.049545068;466.12;ruim;ausenteouruim;0.021258503;200;denso;denso;parcialmente_ambos;ambos;samambaia;106;338;389;7;0.5;0;0;0;2838.4;45;202;2.4;20.48;29.06;13.94;-0.39
1;2006;velho;8135;421;0.05175;2;2.419;2307;0.501819299;4082.3;normal;0.214591272;1745.7;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;6;49;45;1.5;1.5;0;1;0.5;2340.6;38;202;2.5;20.61;28.01;14.45;0.83
2;2007;velho;10162;491;0.04831;4;2.419;2908;0.528616414;5371.8;normal;0.185219445;1882.2;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;6;49;45;2.5;2.5;1;1;0.5;2925.8;57;201;2.5;21.19;29.13;13.25;0.33
3;2008;velho;8761;544;0.06209;4;2.406;2493;0.403469924;3534.8;normal;0.214838489;1882.2;boa;boa;0.09713503;851;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;19;49;38A;3.5;12.5;0;0;0;2908;44;211;2.5;21.06;28.96;14.13;0
4;2009;velho;8637;558;0.0646;3;2.407;2553;0.38529582;3327.8;normal;0.21792289;1882.2;boa;boa;0.101192544;874;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;19;49;38A;4.5;13.5;0;2;1;3298;57;229;2.5;21.606;30.02;14.41;1.55
5;2010;velho;8557;528;0.0617;2;2.406;2572;0.377328503;3228.8;normal;0.219960266;1882.2;boa;boa;0.1021386;874;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;32;183;38A;1;14.5;1;3;1.5;3460.8;67;222;2.4;20.909;29.56;13.85;2.38
6;2011;velho;8962;538;0.06003;3;2.407;2559;0.406918099;3646.8;densa;0.210020085;1882.2;boa;boa;0.097522874;874;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;32;183;38A;2;15.5;0;2;1;2705;32;217;2.4;20.734;28.35;14.16;1.17
7;2012;velho;7968;447;0.05609;3;2.41;2657;0.299924699;2389.8;densa;0.23621988;1882.2;boa;boa;0.130396586;1039;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;42;183;268;3;1;1;2;1;2387.3;36;209;2.5;21.004;28.571;13.868;1.14
8;2013;velho;7968;447;0.05609;4;2.41;2657;0.299924699;2389.8;densa;0.23621988;1882.2;boa;boa;0.130396586;1039;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;42;183;268;4;2;0;3;1.5;2035.6;22;205;2.5;21.013;28.93;13.11;2
9;2014;velho;4798;356;0.07419;3;2.403;1716;0.239891622;1151;densa;0.185910796;892;boa;boa;0.216548562;1039;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;42;183;268;5;3;0;2;1;2296.8;38;218;2.5;21.38;28.85;14.66;1.2
10;2015;velho;4754;324;0.06815;4;2.403;1556;0.266512411;1267;moderada;0.187631468;892;moderada;moderada;0.218552798;1039;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;42;183;268;6;4;0;2;1;3531.8;68;246;2.5;21.427;31.34;14.93;1
11;2016;velho;4754;324;0.06815;4;2.403;1556;0.266512411;1267;moderada;0.187631468;892;moderada;moderada;0.218552798;1039;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;42;183;268;7;5;0;4;2;1830;30;240;2.5;20.973;30.2;11.62;3.41
12;2017;velho;4849;311;0.06413;4;2.403;1275;0.319241081;1548;moderada;0.191792122;930;moderada;moderada;0.226025985;1096;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;0.5;6;1;0;0;2471.8;40;223;2.5;21.215;28.14;14.4;-0.56
13;2018;velho;5617;320;0.05696;3;2.407;1363;0.352679366;1981;normal;0.175360513;985;moderada;moderada;0.229303899;1288;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;1.5;7;0;2;1;2315.8;40;217;2.5;21.238;31.87;13.66;1.42
14;2019;velho;5617;320;0.05696;3;2.407;1363;0.352679366;1981;normal;0.175360513;985;ruim;ausenteouruim;0.229303899;1288;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;2.5;8;0;2;1;3025;44;205;2.4;21.163;28.71;13.45;0.74
15;2020;velho;5617;320;0.05696;4;2.407;1363;0.352679366;1981;normal;0.175360513;985;ruim;ausenteouruim;0.229303899;1288;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;3.5;9;0;0;0;2274.2;38;204;2.4;21.097;29.04;13.75;0
16;2021;velho;4503;279;0.06195;3;2.41;972;0.354874528;1598;normal;0.11014879;496;ruim;ausenteouruim;0.319120586;1437;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;4.5;10;0;1;0.5;2639.6;38;221;2.4;20.588;29.19;11.93;0.36
17;2022;velho;4503;279;0.06195;3;2.41;972;0.354874528;1598;normal;0.11014879;496;ruim;ausenteouruim;0.319120586;1437;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;5.5;11;0;0;0;2838.4;45;202;2.4;20.48;29.06;13.94;-0.39
18;2023;velho;4826;282;0.05843;3;2.408;1030;0.386033983;1863;normal;0.102776627;496;ruim;ausenteouruim;0.297762122;1437;pouco denso;ausenteouruim;parcialmente_samambaia;samambaia;samambaia_cebolama;78;359;268;6.5;12;1;0;0;3452.2;56;216;2.5;21.311;29.65;14.37;-0.23
4;2009;vermelhinha;4823;279;0.05784;2;2.481;510;0.681484553;3286.8;moderada;0.212772134;1026.2;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;8C;Fi11;120;2;1;0;0;0;3298;57;229;2.5;21.606;30.02;14.41;-0.45
5;2010;vermelhinha;4930;324;0.06572;2;2.481;458;0.648803245;3198.6;moderada;0.258296146;1273.4;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;15C;Fi11;Fi17;3;2.8;1;0;0;3460.8;67;222;2.4;20.909;29.56;13.85;-0.62
6;2011;vermelhinha;4996;298;0.05964;2;2.481;431;0.710588471;3550.1;densa;0.203142514;1014.9;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;15C;Fi11;Fi17;4;3.8;0;NA;NA;2705;32;217;2.4;20.734;28.35;14.16;NA
7;2012;vermelhinha;5058;288;0.05693;2;2.486;851.58;0.586725979;2967.66;densa;0.244911032;1238.76;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;15C;Fi11;Fi17;5;4.8;0;0;0;2387.3;36;209;2.5;21.004;28.571;13.868;-0.86
8;2013;vermelhinha;5361;306;0.05707;2;2.481;1136.5;0.556937139;2985.74;densa;0.23106883;1238.76;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;32C;Fi11;303;6;0.5;1;1;0.5;2035.6;22;205;2.5;21.013;28.93;13.11;0
9;2014;vermelhinha;5058;288;0.05693;2;2.486;851.58;0.586725979;2967.66;densa;0.244911032;1238.76;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;36C;321;303;0.5;1.5;1;0;0;2296.8;38;218;2.5;21.38;28.85;14.66;-0.8
10;2015;vermelhinha;5967;374;0.06267;3;2.508;1094.58;0.600630132;3583.96;moderada;0.215930954;1288.46;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;36C;321;303;1.5;2.5;0;0;0;3531.8;68;246;2.5;21.427;31.34;14.93;-1
11;2016;vermelhinha;5990;366;0.0611;3;2.511;1064.58;0.607171953;3636.96;moderada;0.215101836;1288.46;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;56C;321;NA;2.5;NA;1;0;0;1830;30;240;2.5;20.973;30.2;11.62;-0.59
12;2017;vermelhinha;5909;368;0.06227;2;2.511;1341.56;0.544332374;3216.46;moderada;0.228630902;1350.98;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;56C;321;NA;3.5;NA;0;NA;NA;2471.8;40;223;2.5;21.215;28.14;14.4;NA
13;2018;vermelhinha;5909;368;0.06227;3;2.511;1341.56;0.544332374;3216.46;normal;0.228630902;1350.98;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;57C;321;329;4.5;4.5;0;0;0;2315.8;40;217;2.5;21.238;31.87;13.66;-0.58
14;2019;vermelhinha;4883;298;0.06102;2;2.505;939.05;0.531630145;2595.95;normal;0.276059799;1348;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;59C;384;329;0.5;5.5;0;2;1;3025;44;205;2.4;21.163;28.71;13.45;0.74
15;2020;vermelhinha;5296;295;0.0557;2;2.503;910.5;0.561858006;2975.6;normal;0.266219789;1409.9;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;60C;384;383;1.5;0.5;1;0;0;2274.2;38;204;2.4;21.097;29.04;13.75;0
16;2021;vermelhinha;5232;297;0.05676;2;2.503;1164.1;0.621922783;3253.9;normal;0.15558104;814;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;61C;NA;383;NA;1.5;1;0;0;2639.6;38;221;2.4;20.588;29.19;11.93;-0.64
17;2022;vermelhinha;6377;365;0.05723;2;2.475;2115.1;0.540677435;3447.9;normal;0.127646229;814;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;92C;398;383;0.5;2.5;0;1;0.5;2838.4;45;202;2.4;20.48;29.06;13.94;0.61
18;2023;vermelhinha;6377;365;0.05723;2;2.475;2115.1;0.540677435;3447.9;normal;0.127646229;814;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;****;397;383;1.5;3.5;0;0;0;3452.2;56;216;2.5;21.311;29.65;14.37;-0.23
4;2009;vitorio;8028;490;0.06103;2;2.451;3764;0.443713254;3562.13;moderada;0.087427753;701.87;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;7C;166;65;1;4.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41;-0.45
5;2010;vitorio;8489;406;0.04782;2;2.389;4133;0.422997997;3590.83;moderada;0.090136647;765.17;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;16C;117;65;3.5;5.5;2;0;0;3460.8;67;222;2.4;20.909;29.56;13.85;-0.62
6;2011;vitorio;8535;447;0.05237;2;2.395;4393;0.401714118;3428.63;densa;0.083581722;713.37;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;16C;117;65;4.5;6.5;1;NA;NA;2705;32;217;2.4;20.734;28.35;14.16;NA
7;2012;vitorio;8932;442;0.04948;2;2.498;4387;0.377742947;3374;densa;0.131101657;1171;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;24C;117;Fi61;4.5;2;0;0;0;2387.3;36;209;2.5;21.004;28.571;13.868;-0.86
8;2013;vitorio;8685;420;0.04835;2;2.411;4171;0.384916523;3343;densa;0.134830167;1171;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;24C;117;Fi61;5.5;3;0;1;0.5;2035.6;22;205;2.5;21.013;28.93;13.11;0
9;2014;vitorio;8638;422;0.04885;2;2.426;4076;0.391486455;3381.66;densa;0.136645057;1180.34;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;39C;117;Fi84;6.5;1;1;0;0;2296.8;38;218;2.5;21.38;28.85;14.66;-0.8
10;2015;vitorio;7678;373;0.04858;2;2.4;3832;0.349570201;2684;moderada;0.151341495;1162;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;47C;342;331;0.5;1;3;0;0;3531.8;68;246;2.5;21.427;31.34;14.93;-1
11;2016;vitorio;7833;369;0.0471;2;2.406;3832;0.361674965;2833;moderada;0.149112728;1168;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;47C;342;331;1.5;2;0;0;0;1830;30;240;2.5;20.973;30.2;11.62;-0.59
12;2017;vitorio;7990;370;0.0463;2;2.4;3867;0.373091364;2981;moderada;0.142928661;1142;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;47C;342;331;2.5;3;0;NA;NA;2471.8;40;223;2.5;21.215;28.14;14.4;NA
13;2018;vitorio;7990;370;0.0463;2;2.4;3867;0.373091364;2981;normal;0.142928661;1142;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;47C;342;331;3.5;4;2;0;0;2315.8;40;217;2.5;21.238;31.87;13.66;-0.58
14;2019;vitorio;8842;385;0.04354;2;2.407;3833;0.415743045;3676;normal;0.150757747;1333;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;73C;402;331;0.5;5;3;0;0;3025;44;205;2.4;21.163;28.71;13.45;-1.26
15;2020;vitorio;9349;443;0.04738;2;2.45;2931;0.493550112;4614.2;normal;0.192940421;1803.8;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;74C;402;322;1.5;6;1;0;0;2274.2;38;204;2.4;21.097;29.04;13.75;0
16;2021;vitorio;3273;258;0.07882;2;2.612;206.3;0.711249618;2327.92;normal;0.225719523;738.78;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;74C;402;322;2.5;7;0;0;0;2639.6;38;221;2.4;20.588;29.19;11.93;-0.64
17;2022;vitorio;4557;307;0.06736;2;2.558;710;0.682075927;3108.22;normal;0.162119816;738.78;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;94C;397;415;0.5;1;0;0;0;2838.4;45;202;2.4;20.48;29.06;13.94;-0.39
18;2023;vitorio;6221;361;0.05802;2;2.497;2278;0.515065102;3204.22;normal;0.118755827;738.78;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;****;398;415;1.5;2;0;0;0;3452.2;56;216;2.5;21.311;29.65;14.37;-0.23
4;2009;vizinho;7061;397;0.05622;2;2.617;0;0.589987254;4165.9;normal;0.275966577;1948.6;boa;boa;0.134046169;946.5;denso;denso;parcialmente_ambos;ambos;capimserra;13C;169;168;0.5;1;0;0;0;3298;57;229;2.5;21.606;30.02;14.41;-0.45
5;2010;vizinho;6635;366;0.05516;2;2.6;0;0.529299171;3511.9;normal;0.328048229;2176.6;boa;boa;0.1426526;946.5;denso;denso;parcialmente_ambos;ambos;capimserra;14C;172;168;1.5;2;0;0;0;3460.8;67;222;2.4;20.909;29.56;13.85;-0.62
6;2011;vizinho;6779;384;0.05664;2;2.626;0;0.52543148;3561.9;normal;0.334946157;2270.6;boa;boa;0.139622363;946.5;denso;denso;parcialmente_ambos;ambos;capimserra;14C;172;168;2.5;3;0;NA;NA;2705;32;217;2.4;20.734;28.35;14.16;NA
7;2012;vizinho;6810;385;0.05653;2;2.626;13;0.334008811;2274.6;normal;0.367165932;2500.4;boa;boa;0.2969163;2022;denso;denso;parcialmente_ambos;ambos;capimserra;14C;172;168;3.5;4;0;0;0;2387.3;36;209;2.5;21.004;28.571;13.868;-0.86
8;2013;vizinho;6810;385;0.05653;2;2.626;13;0.334008811;2274.6;normal;0.367165932;2500.4;boa;boa;0.2969163;2022;denso;denso;parcialmente_ambos;ambos;capimserra;14C;172;168;4.5;5;0;2;1;2035.6;22;205;2.5;21.013;28.93;13.11;1
9;2014;vizinho;6519;376;0.05767;2;2.628;13;0.303206013;1976.6;normal;0.365608222;2383.4;boa;boa;0.329191594;2146;denso;denso;parcialmente_ambos;ambos;capimserra;14C;172;168;5.5;6;0;0;0;2296.8;38;218;2.5;21.38;28.85;14.66;-0.8
10;2015;vizinho;5598;293;0.05234;1;2.635;0;0.343801358;1924.6;normal;0.294998214;1651.4;boa;boa;0.361200429;2022;denso;denso;parcialmente_ambos;ambos;capimserra;49C;377;344;0.5;1;2;1;0.5;3531.8;68;246;2.5;21.427;31.34;14.93;0
11;2016;vizinho;5833;294;0.0504;2;2.634;0;0.347436996;2026.6;normal;0.283113321;1651.4;boa;boa;0.369449683;2155;denso;denso;parcialmente_ambos;ambos;capimserra;49C;377;344;1.5;2;0;1;0.5;1830;30;240;2.5;20.973;30.2;11.62;0.41
12;2017;vizinho;5833;294;0.0504;2;2.634;0;0.256317504;1495.1;normal;0.31782959;1853.9;boa;boa;0.425852906;2484;denso;denso;parcialmente_ambos;ambos;capimserra;49C;377;344;2.5;3;0;NA;NA;2471.8;40;223;2.5;21.215;28.14;14.4;NA
13;2018;vizinho;5833;294;0.0504;2;2.634;0;0.256317504;1495.1;normal;0.31782959;1853.9;moderada;moderada;0.425852906;2484;denso;denso;parcialmente_ambos;ambos;capimserra;49C;377;344;3.5;4;0;1;0.5;2315.8;40;217;2.5;21.238;31.87;13.66;0.42
14;2019;vizinho;4131;289;0.06995;2;2.63;0;0.308182038;1273.1;normal;0.047373517;195.7;moderada;moderada;0.644444444;2662.2;denso;denso;integralmente_samambaia_parcialmente_capimserra;ambos;capimserra;49C;377;344;4.5;5;0;0;0;3025;44;205;2.4;21.163;28.71;13.45;-1.26
15;2020;vizinho;5953;346;0.05812;2;2.596;143;0.514127331;3060.6;normal;0.037392911;222.6;moderada;moderada;0.424458256;2526.8;denso;denso;integralmente_samambaia_parcialmente_capimserra;ambos;capimserra;49C;377;344;5.5;6;2;0;0;2274.2;38;204;2.4;21.097;29.04;13.75;0
16;2021;vizinho;5895;318;0.05394;1;2.617;0;0.437506361;2579.1;normal;0.038184902;225.1;moderada;moderada;0.524308736;3090.8;denso;denso;integralmente_samambaia_parcialmente_capimserra;ambos;capimserra;65C;396;344;0.5;7;0;2;1;2639.6;38;221;2.4;20.588;29.19;11.93;1.36
17;2022;vizinho;5582;306;0.05481;1;2.61;0;0.447706915;2499.1;normal;0.040326048;225.1;moderada;moderada;0.511967037;2857.8;denso;denso;integralmente_samambaia_parcialmente_capimserra;ambos;capimserra;65C;396;344;1.5;8;0;0;0;2838.4;45;202;2.4;20.48;29.06;13.94;-0.39
18;2023;vizinho;5582;306;0.05481;1;2.61;0;0.447706915;2499.1;normal;0.040326048;225.1;moderada;moderada;0.511967037;2857.8;denso;denso;integralmente_samambaia_parcialmente_capimserra;ambos;capimserra;****;NA;344;NA;9;0;0;0;3452.2;56;216;2.5;21.311;29.65;14.37;-0.23
13;2018;globo;3615;280;0.07746;4;2.482;401;0.883125864;3192.5;normal;0.00594744;21.5;ruim;ausenteouruim;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;82C;364;363;0.5;1;1;0;0;2315.8;40;217;2.5;21.238;31.87;13.66;-0.58
14;2019;globo;3615;280;0.07746;4;2.482;401;0.883125864;3192.5;normal;0.005947441;21.5;ruim;ausenteouruim;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;ausente;83C;96;265;13;9;2;0;0;3025;44;205;2.4;21.163;28.71;13.45;-1.26
